,id,name,railway,public_transport,station_code,network,internet_access,lat,lon,Station Code,Station Name,District,State,Trains passing through
327,617332502,Ramanagaram,station,station,RMGM,IR,no,12.7210476,77.28373760000001,RMGM,Ramanagaram,Ramanagara,Karnataka,33
328,619119023,Kalva,station,station,KLVA,IR,no,19.1952243,72.9963331,KLVA,Kalva,Thane,Maharashtra,0
329,619992025,Kanjur Marg,station,station,KJRD,IR,no,19.1296868,72.92837010000001,KJRD,Kanjur Marg,Mumbai Suburban,Maharashtra,0
330,620013256,Vidyavihar,station,station,VVH,IR,no,19.079542200000002,72.8971169,VVH,Vidyavihar,Mumbai Suburban,Maharashtra,0
331,621911847,Lower Parel,station,station,PL,Mumbai Suburban Railway,no,18.99568,72.83027560000001,PL,Mumbai Lower Parel,Mumbai Suburban,Maharashtra,0
332,630743879,Diva Junction,station,station,DIVA,IR,no,19.188756400000003,73.0414169,DIVA,Diva,Thane,Maharashtra,2
333,631579580,Grant Road,station,station,GTR,Mumbai Suburban Railway,no,18.963354900000002,72.81582610000001,GTR,Mumbai Grant Road,Mumbai Suburban,Maharashtra,0
334,632050796,Delhi Cantonment,station,station,DEC,Indian Railways,no,28.611709400000002,77.11566350000001,DEC,Delhi Cantt,New Delhi,Delhi,76
335,632342238,Wadala Depot,station,station,,,,19.038824400000003,72.87402490000001,,,,,
336,632358105,Karjat,station,station,KJT,IR,no,18.9099653,73.3209629,KJT,Karjat,Raigad,Maharashtra,68
337,634317628,Junagadh Junction,station,station,JND,IR,no,21.5294132,70.4578106,JND,Junagadh Jn,Junagadh,Gujarat,20
338,634336690,Visavadar Junction,station,station,VSW,IR,no,21.340240100000003,70.7557328,VSW,Visavadar,Junagadh,Gujarat,0
339,634346965,Gondal,station,station,GDL,IR,no,21.9721823,70.7955235,GDL,Gondal,Rajkot,Gujarat,20
340,632337506,Chembur,station,station,,,,19.0612128,72.89759090000001,,,,,
341,632340589,Bhakti Park,station,station,,,,19.028972,72.8775722,,,,,
342,651800191,Baghajatin,station,station,BGJT,IR,,22.4828516,88.38666330000001,BGJT,Bagha Jatin,Kolkata,West Bengal,0
343,651805730,Ballygunge Junction,station,station,BLN,IR,,22.5191616,88.37219230000001,BLN,Ballygunge Jn,Kolkata,West Bengal,2
344,653938640,Maddur,station,station,MAD,IR,no,12.604671100000001,77.04969960000001,MAD,Maddur,Mandya,Karnataka,27
345,654125698,Alnavar Junction,station,station,LWR,IR,no,15.424511200000001,74.73830260000001,LWR,Alnavar Jn,Dharwad,Karnataka,25
346,654130310,Kundgol,station,station,KNO,IR,no,15.258882700000001,75.2500447,KNO,Kundgol,Dharwad,Karnataka,0
347,654132674,Ranebennuru,station,station,RNR,IR,no,14.625888000000002,75.63572450000001,RNR,Ranibennur,Haveri,Karnataka,37
348,654140148,Sambre,station,station,SXB,IR,no,15.8843177,74.5772092,SXB,Sambre,Belagavi,Karnataka,0
349,654163114,Bhavani Nagar,station,station,BVNR,IR,no,17.1569206,74.31332830000001,BVNR,Bhavani Nagar,Sangli,Maharashtra,2
350,654163137,Takari,station,station,TKR,IR,no,17.1330025,74.35822850000001,TKR,Takari,Sangli,Maharashtra,10
351,654165845,Shirvade,station,station,SIW,IR,no,17.3608896,74.1577118,SIW,Shirravde,Satara,Maharashtra,1
352,654165893,Targaon,station,station,TAZ,IR,,17.5143166,74.15620960000001,TAZ,Targaon,Satara,Maharashtra,4
353,654165911,Karad,station,station,KRD,IR,no,17.309634300000003,74.21686530000001,KRD,Karad,Satara,Maharashtra,34
354,654165958,Satara,station,station,STR,IR,no,17.688335900000002,74.06318350000001,STR,Satara,Satara,Maharashtra,42
355,654209479,Bhanapur,station,station,BNP,IR,no,15.3865703,76.03897090000001,BNP,Bhanapur,Koppal,Karnataka,4
356,655264344,Guledgudda Road,station,station,GED,IR,no,16.067305400000002,75.694556,GED,Guledagudda Rd,Bagalkot,Karnataka,6
357,655264380,Bagalkot,station,station,BGK,IR,no,16.1793224,75.6999315,BGK,Bagalkot,Bagalkot,Karnataka,22
358,655290802,Almatti,station,station,LMT,IR,no,16.345045900000002,75.9012249,LMT,Almatti,Vijayapura,Karnataka,14
359,654096682,Kokpara,station,station,KKPR,IR,no,22.4747948,86.634545,KKPR,Kokpara,Purbi Singhbhum,Jharkhand,0
360,654096688,Chakulia,station,station,CKU,IR,no,22.4784295,86.7219072,CKU,Chakulia,Purbi Singhbhum,Jharkhand,16
361,659537076,Chitradurga,station,station,CTA,IR,no,14.2307965,76.3864729,CTA,Chitradurg,Chitradurga,Karnataka,4
362,660147566,Latur Railway Station,station,station,LUR,IR,no,18.429456300000002,76.55579730000001,LUR,Latur,Latur,Maharashtra,24
363,658495933,Neral,station,station,NRL,IR,no,19.0274308,73.31843690000001,NRL,Neral,Raigad,Maharashtra,3
364,663755930,Shastri Park,station,station,,Delhi Metro,,28.6684339,77.2505301,,,,,
365,663758609,Seelampur,station,station,,Delhi Metro,,28.669816500000003,77.2668137,,,,,
366,663758748,Welcome (Red Line),station,station,,Delhi Metro,,28.671752400000003,77.2778548,,,,,
367,663758998,Shahdara,station,station,,Delhi Metro,,28.6734298,77.28988580000001,,,,,
368,663759047,Delhi Shahdara Junction,station,station,DSA,IR,no,28.6734557,77.2922087,DSA,Delhi Shahdara,East,Delhi,24
